,Tokens,Occurences
164,month,"[('2Ben.txt', 1)]"
165,hon,"[('2Ben.txt', 1)]"
166,develop,"[('3Carrie.txt', 1)]"
167,hedg,"[('1Amy.txt', 1), ('3Carrie.txt', 1)]"
168,invest,"[('1Amy.txt', 1), ('2Ben.txt', 1), ('3Carrie.txt', 3)]"
169,set,"[('2Ben.txt', 2)]"
170,knowledg,"[('3Carrie.txt', 2)]"
171,risk,"[('2Ben.txt', 1)]"
172,ad,"[('2Ben.txt', 1)]"
173,2013,"[('1Amy.txt', 1), ('2Ben.txt', 2), ('3Carrie.txt', 3)]"
174,corpor,"[('2Ben.txt', 1), ('3Carrie.txt', 1)]"
175,univers,"[('2Ben.txt', 2), ('3Carrie.txt', 1)]"
176,sage,"[('1Amy.txt', 1)]"
177,melbourn,"[('1Amy.txt', 1)]"
178,ralli,"[('1Amy.txt', 1)]"
179,proper,"[('2Ben.txt', 1)]"
180,resolv,"[('2Ben.txt', 1)]"
181,bank,"[('1Amy.txt', 1)]"
182,solut,"[('2Ben.txt', 1)]"
183,api,"[('1Amy.txt', 3), ('2Ben.txt', 1), ('3Carrie.txt', 1)]"
184,24th,"[('1Amy.txt', 1)]"
185,enhanc,"[('2Ben.txt', 2)]"
186,aia,"[('3Carrie.txt', 1)]"
187,execut,"[('3Carrie.txt', 1)]"
188,nav,"[('1Amy.txt', 4)]"
189,report,"[('1Amy.txt', 2), ('2Ben.txt', 4), ('3Carrie.txt', 1)]"
190,batteri,"[('1Amy.txt', 1)]"
191,advanc,"[('3Carrie.txt', 1)]"
192,given,"[('3Carrie.txt', 1)]"
193,mathemat,"[('2Ben.txt', 1)]"
194,intern,"[('2Ben.txt', 2), ('3Carrie.txt', 1)]"
195,examin,"[('2Ben.txt', 1)]"
196,associ,"[('1Amy.txt', 1)]"
197,ami,"[('1Amy.txt', 1)]"
198,book,"[('1Amy.txt', 1)]"
199,estim,"[('1Amy.txt', 2)]"
200,apr,"[('1Amy.txt', 3), ('2Ben.txt', 1), ('3Carrie.txt', 2)]"
201,junior,"[('3Carrie.txt', 1)]"
202,follow,"[('2Ben.txt', 1)]"
